locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOGGKBHB_00695	CDS	675	ccmB		COG2386	Heme exporter protein B
NOGGKBHB_00696	CDS	759	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NOGGKBHB_00697	CDS	636				hypothetical protein
NOGGKBHB_00698	CDS	906	acuC			Acetoin utilization protein AcuC
NOGGKBHB_00699	CDS	339	dpnA	2.1.1.72		Modification methylase DpnIIB
NOGGKBHB_00700	CDS	171				hypothetical protein
NOGGKBHB_00701	CDS	780	dpnC	3.1.21.4		Type-2 restriction enzyme DpnI
NOGGKBHB_00702	CDS	219	dam	2.1.1.72	COG0338	DNA adenine methylase
NOGGKBHB_00703	CDS	2928	valS	6.1.1.9	COG0525	Valine--tRNA ligase
NOGGKBHB_00704	CDS	1470	yflS		COG0471	Putative malate transporter YflS
NOGGKBHB_00705	CDS	849				hypothetical protein
NOGGKBHB_00706	CDS	1848				hypothetical protein
NOGGKBHB_00707	CDS	588	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
NOGGKBHB_00708	CDS	1551	murJ		COG0728	putative lipid II flippase MurJ
NOGGKBHB_00709	CDS	516				hypothetical protein
NOGGKBHB_00710	CDS	324			COG1146	Ferredoxin 1
NOGGKBHB_00711	CDS	453				hypothetical protein
NOGGKBHB_00712	CDS	531				hypothetical protein
NOGGKBHB_00713	CDS	1500	alsT		COG1115	Amino-acid carrier protein AlsT
NOGGKBHB_00714	CDS	1320	rutG		COG2233	Putative pyrimidine permease RutG
NOGGKBHB_00715	CDS	3285				hypothetical protein
NOGGKBHB_00716	CDS	513	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
NOGGKBHB_00717	CDS	498	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
NOGGKBHB_00718	CDS	1170	metXS	2.3.1.46	COG2021	Homoserine O-succinyltransferase
NOGGKBHB_00719	CDS	615	metXA		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
NOGGKBHB_00720	CDS	570				hypothetical protein
NOGGKBHB_00721	CDS	2277				hypothetical protein
NOGGKBHB_00722	CDS	1473	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
NOGGKBHB_00723	CDS	804				hypothetical protein
NOGGKBHB_00724	CDS	1302	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
NOGGKBHB_00725	CDS	675	engB		COG0218	putative GTP-binding protein EngB
NOGGKBHB_00726	CDS	837	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
NOGGKBHB_00727	CDS	447	yqeY		COG1610	putative protein YqeY
NOGGKBHB_00728	CDS	261	fdx_3		COG1145	Ferredoxin
NOGGKBHB_00729	CDS	543				hypothetical protein
NOGGKBHB_00730	CDS	1377				hypothetical protein
NOGGKBHB_00731	CDS	1410				hypothetical protein
NOGGKBHB_00732	CDS	1395		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NOGGKBHB_00733	CDS	669				hypothetical protein
NOGGKBHB_00734	CDS	1524	oprM		COG1538	Outer membrane protein OprM
NOGGKBHB_00735	CDS	3156	mexB		COG0841	Multidrug resistance protein MexB
NOGGKBHB_00736	CDS	1422	acrA			Multidrug efflux pump subunit AcrA
NOGGKBHB_00737	tRNA	74				tRNA-Cys(gca)
NOGGKBHB_00738	tRNA	87				tRNA-Leu(taa)
NOGGKBHB_00739	CDS	711	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
NOGGKBHB_00740	CDS	774	fpr_2	1.18.1.2	COG1018	Ferredoxin--NADP reductase
NOGGKBHB_00741	CDS	435				hypothetical protein
NOGGKBHB_00742	CDS	651				hypothetical protein
NOGGKBHB_00743	CDS	1248				hypothetical protein
NOGGKBHB_00744	CDS	1701	betS			Glycine betaine/proline betaine transporter BetS
NOGGKBHB_00745	CDS	1899	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
NOGGKBHB_00746	CDS	405				hypothetical protein
NOGGKBHB_00747	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
NOGGKBHB_00748	CDS	1260				hypothetical protein
NOGGKBHB_00749	CDS	897				hypothetical protein
NOGGKBHB_00750	CDS	1368				hypothetical protein
NOGGKBHB_00751	CDS	1284	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
NOGGKBHB_00752	CDS	990	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NOGGKBHB_00753	CDS	441				hypothetical protein
NOGGKBHB_00754	CDS	999	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
NOGGKBHB_00755	CDS	2331	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
NOGGKBHB_00756	CDS	1170	cca		COG0617	Multifunctional CCA protein
NOGGKBHB_00757	CDS	768	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
NOGGKBHB_00758	CDS	1389	plaP		COG0531	Low-affinity putrescine importer PlaP
NOGGKBHB_00759	CDS	603				hypothetical protein
NOGGKBHB_00760	CDS	114				hypothetical protein
NOGGKBHB_00761	CDS	1179				hypothetical protein
NOGGKBHB_00762	CDS	1497	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
NOGGKBHB_00763	CDS	183				hypothetical protein
NOGGKBHB_00764	CDS	861				hypothetical protein
NOGGKBHB_00765	CDS	831	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
NOGGKBHB_00766	CDS	1119	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
NOGGKBHB_00767	CDS	1341	gdhA	1.4.1.4		NADP-specific glutamate dehydrogenase
NOGGKBHB_00768	CDS	1431				hypothetical protein
NOGGKBHB_00769	CDS	1935	htpG		COG0326	Chaperone protein HtpG
NOGGKBHB_00770	CDS	2361	mrcA		COG5009	Penicillin-binding protein 1A
NOGGKBHB_00771	CDS	777				hypothetical protein
NOGGKBHB_00772	CDS	1905	ftsH_2	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
NOGGKBHB_00773	CDS	633	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
NOGGKBHB_00774	CDS	318			COG1534	RNA-binding protein
NOGGKBHB_00775	CDS	630				hypothetical protein
NOGGKBHB_00776	CDS	678				hypothetical protein
NOGGKBHB_00777	CDS	549				hypothetical protein
NOGGKBHB_00778	CDS	906	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
NOGGKBHB_00779	CDS	576	efp		COG0231	Elongation factor P
NOGGKBHB_00780	CDS	1071	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
NOGGKBHB_00781	tRNA	77				tRNA-Val(gac)
NOGGKBHB_00782	CDS	390				hypothetical protein
NOGGKBHB_00783	CDS	363				hypothetical protein
NOGGKBHB_00784	CDS	522				hypothetical protein
NOGGKBHB_00785	CDS	219				hypothetical protein
NOGGKBHB_00786	CDS	1257				hypothetical protein
NOGGKBHB_00787	CDS	1116				hypothetical protein
NOGGKBHB_00788	CDS	489				hypothetical protein
NOGGKBHB_00789	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
NOGGKBHB_00790	CDS	1953	estP	3.1.1.1	COG3240	Esterase EstP
NOGGKBHB_00791	CDS	438				hypothetical protein
NOGGKBHB_00792	CDS	765	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
NOGGKBHB_00793	CDS	957				hypothetical protein
NOGGKBHB_00794	CDS	549	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NOGGKBHB_00795	CDS	1125	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
NOGGKBHB_00796	CDS	459				hypothetical protein
NOGGKBHB_00797	CDS	1173	ydiK		COG0628	Putative transport protein YdiK
NOGGKBHB_00798	CDS	1056	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
NOGGKBHB_00799	CDS	975	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
NOGGKBHB_00800	CDS	813	mcl2	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
NOGGKBHB_00801	CDS	1203	pyrC'		COG0044	Dihydroorotase-like protein
NOGGKBHB_00802	CDS	909	esiB			Secretory immunoglobulin A-binding protein EsiB
NOGGKBHB_00803	CDS	1020	pyrB	2.1.3.2		Aspartate carbamoyltransferase
NOGGKBHB_00804	CDS	999	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
NOGGKBHB_00805	CDS	777	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
NOGGKBHB_00806	CDS	930	etfA		COG2025	Electron transfer flavoprotein subunit alpha
NOGGKBHB_00807	CDS	750	etfB			Electron transfer flavoprotein subunit beta
NOGGKBHB_00808	CDS	1014				hypothetical protein
NOGGKBHB_00809	CDS	1287	hutI	3.5.2.7	COG1228	Imidazolonepropionase
NOGGKBHB_00810	CDS	1062	hutG	3.5.3.8	COG0010	Formimidoylglutamase
NOGGKBHB_00811	CDS	1554	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
NOGGKBHB_00812	CDS	1716	hutU	4.2.1.49	COG2987	Urocanate hydratase
NOGGKBHB_00813	CDS	2634	acnB	4.2.1.3	COG1049	Aconitate hydratase B
NOGGKBHB_00814	CDS	456	fimA			Fimbrial protein
NOGGKBHB_00815	CDS	372	rplS		COG0335	50S ribosomal protein L19
NOGGKBHB_00816	CDS	753	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
NOGGKBHB_00817	CDS	558	rimM		COG0806	Ribosome maturation factor RimM
NOGGKBHB_00818	CDS	249	rpsP		COG0228	30S ribosomal protein S16
NOGGKBHB_00819	CDS	1431	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
NOGGKBHB_00820	CDS	1704	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NOGGKBHB_00821	CDS	714	rstA		COG0745	Transcriptional regulatory protein RstA
NOGGKBHB_00822	CDS	420	atpC		COG0355	ATP synthase epsilon chain
NOGGKBHB_00823	CDS	1422	atpD1	7.1.2.2		ATP synthase subunit beta 1
NOGGKBHB_00824	CDS	336				hypothetical protein
NOGGKBHB_00825	CDS	873	atpG		COG0224	ATP synthase gamma chain
NOGGKBHB_00826	CDS	1545	atpA	7.1.2.2		ATP synthase subunit alpha
NOGGKBHB_00827	CDS	549	atpH_1		COG0712	ATP synthase subunit delta
NOGGKBHB_00828	CDS	468	atpF		COG0711	ATP synthase subunit b
NOGGKBHB_00829	CDS	246	atpH_2			ATP synthase subunit c
NOGGKBHB_00830	CDS	870	atpB		COG0356	ATP synthase subunit a
NOGGKBHB_00831	CDS	399				hypothetical protein
NOGGKBHB_00832	CDS	891				hypothetical protein
NOGGKBHB_00833	CDS	516	zur		COG0735	Zinc uptake regulation protein
NOGGKBHB_00834	CDS	777	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
NOGGKBHB_00835	CDS	804	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NOGGKBHB_00836	CDS	834	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
NOGGKBHB_00837	CDS	420	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
NOGGKBHB_00838	CDS	918	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
NOGGKBHB_00839	CDS	543				hypothetical protein
NOGGKBHB_00840	CDS	678	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
NOGGKBHB_00841	CDS	1851	uvrC		COG0322	UvrABC system protein C
NOGGKBHB_00842	CDS	1545	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
NOGGKBHB_00843	CDS	2595				hypothetical protein
NOGGKBHB_00844	CDS	2025				hypothetical protein
NOGGKBHB_00845	CDS	1377	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
NOGGKBHB_00846	CDS	717	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
NOGGKBHB_00847	CDS	642				hypothetical protein
NOGGKBHB_00848	CDS	1770	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NOGGKBHB_00849	CDS	942	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NOGGKBHB_00850	CDS	630	gmk	2.7.4.8	COG0194	Guanylate kinase
NOGGKBHB_00851	CDS	273	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
NOGGKBHB_00852	CDS	2187	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
NOGGKBHB_00853	CDS	180				hypothetical protein
NOGGKBHB_00854	CDS	381	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
NOGGKBHB_00855	CDS	906	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
NOGGKBHB_00856	CDS	2289	priA	3.6.4.-	COG1198	Primosomal protein N'
NOGGKBHB_00857	CDS	729				hypothetical protein
NOGGKBHB_00858	CDS	939				hypothetical protein
NOGGKBHB_00859	CDS	831	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NOGGKBHB_00860	CDS	972	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
NOGGKBHB_00861	CDS	639				hypothetical protein
NOGGKBHB_00862	CDS	360				hypothetical protein
NOGGKBHB_00863	CDS	348				hypothetical protein
NOGGKBHB_00864	CDS	276				hypothetical protein
NOGGKBHB_00865	CDS	1692	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
NOGGKBHB_00866	CDS	711			COG0325	Pyridoxal phosphate homeostasis protein
NOGGKBHB_00867	CDS	1050	pilT		COG2805	Twitching mobility protein
NOGGKBHB_00868	CDS	441	fur		COG0735	Ferric uptake regulation protein
NOGGKBHB_00869	CDS	369	bamE		COG2913	Outer membrane protein assembly factor BamE
NOGGKBHB_00870	CDS	639	dedA		COG0586	Protein DedA
NOGGKBHB_00871	CDS	888	metR			HTH-type transcriptional regulator MetR
NOGGKBHB_00872	CDS	1833	smc_2			Chromosome partition protein Smc
NOGGKBHB_00873	CDS	1047	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
NOGGKBHB_00874	CDS	2226	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
NOGGKBHB_00875	CDS	807				hypothetical protein
NOGGKBHB_00876	CDS	306				hypothetical protein
NOGGKBHB_00877	CDS	201				hypothetical protein
NOGGKBHB_00878	CDS	966	hemH	4.99.1.1	COG0276	Ferrochelatase
NOGGKBHB_00879	CDS	1065	lipA	2.8.1.8	COG0320	Lipoyl synthase
NOGGKBHB_00880	CDS	939		3.1.1.23	COG2267	Monoacylglycerol lipase
NOGGKBHB_00881	CDS	822	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
NOGGKBHB_00882	CDS	786	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
NOGGKBHB_00883	CDS	840	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
NOGGKBHB_00884	CDS	132				hypothetical protein
NOGGKBHB_00885	CDS	1050				hypothetical protein
NOGGKBHB_00886	CDS	543				hypothetical protein
NOGGKBHB_00887	CDS	1419		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NOGGKBHB_00888	CDS	243				hypothetical protein
NOGGKBHB_00889	CDS	1050	recA		COG0468	Protein RecA
NOGGKBHB_00890	CDS	933	recX			Regulatory protein RecX
NOGGKBHB_00891	CDS	903	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
NOGGKBHB_00892	CDS	1134	ftsZ		COG0206	Cell division protein FtsZ
NOGGKBHB_00893	CDS	1299	ftsA		COG0849	Cell division protein FtsA
NOGGKBHB_00894	CDS	669	ftsQ		COG1589	Cell division protein FtsQ
NOGGKBHB_00895	CDS	627				hypothetical protein
NOGGKBHB_00896	CDS	195				hypothetical protein
NOGGKBHB_00897	CDS	720				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
NOGGKBHB_00898	rRNA	109				5S ribosomal RNA
NOGGKBHB_00899	CDS	1302	degS	3.4.21.107	COG0265	Serine endoprotease DegS
NOGGKBHB_00900	CDS	1077	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
NOGGKBHB_00901	CDS	1215	obg	3.6.5.-		GTPase Obg
NOGGKBHB_00902	CDS	522				hypothetical protein
NOGGKBHB_00903	CDS	1344	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
NOGGKBHB_00904	CDS	1041	rppH_2	3.6.1.-		RNA pyrophosphohydrolase
NOGGKBHB_00905	CDS	168				hypothetical protein
NOGGKBHB_00906	CDS	5019				hypothetical protein
NOGGKBHB_00907	CDS	2760	bamA_2			Outer membrane protein assembly factor BamA
NOGGKBHB_00908	CDS	1332	lplT			Lysophospholipid transporter LplT
NOGGKBHB_00909	CDS	825				hypothetical protein
NOGGKBHB_00910	CDS	2316				hypothetical protein
NOGGKBHB_00911	CDS	660	adk	2.7.4.3	COG0563	Adenylate kinase
NOGGKBHB_00912	CDS	1263				hypothetical protein
NOGGKBHB_00913	CDS	516	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
NOGGKBHB_00914	CDS	591	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
NOGGKBHB_00915	CDS	2025	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
NOGGKBHB_00916	CDS	1323				hypothetical protein
NOGGKBHB_00917	CDS	609	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
NOGGKBHB_00918	CDS	1134	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
NOGGKBHB_00919	CDS	990	ansA	3.5.1.1	COG0252	L-asparaginase 1
NOGGKBHB_00920	CDS	807	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
NOGGKBHB_00921	CDS	222	infA		COG0361	Translation initiation factor IF-1
NOGGKBHB_00922	CDS	669				hypothetical protein
NOGGKBHB_00923	CDS	1077				hypothetical protein
NOGGKBHB_00924	CDS	723				hypothetical protein
NOGGKBHB_00925	CDS	408	APOA1BP	5.1.99.6		NAD(P)H-hydrate epimerase
NOGGKBHB_00926	CDS	1068	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
NOGGKBHB_00927	CDS	1086	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
NOGGKBHB_00928	CDS	294				hypothetical protein
NOGGKBHB_00929	CDS	576	dcd	3.5.4.13		dCTP deaminase
NOGGKBHB_00930	CDS	504				hypothetical protein
NOGGKBHB_00931	CDS	363				hypothetical protein
NOGGKBHB_00932	CDS	432				hypothetical protein
NOGGKBHB_00933	CDS	336				hypothetical protein
NOGGKBHB_00934	CDS	363				hypothetical protein
NOGGKBHB_00935	CDS	273				hypothetical protein
NOGGKBHB_00936	CDS	717	yohK		COG1346	Inner membrane protein YohK
NOGGKBHB_00937	CDS	378				hypothetical protein
NOGGKBHB_00938	CDS	1257	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
NOGGKBHB_00939	CDS	1173	ynfM			Inner membrane transport protein YnfM
NOGGKBHB_00940	CDS	2025	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
NOGGKBHB_00941	CDS	1116	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
NOGGKBHB_00942	CDS	414	yibN		COG0607	putative protein YibN
NOGGKBHB_00943	CDS	288	grxC		COG0695	Glutaredoxin 3
NOGGKBHB_00944	CDS	447	secB		COG1952	Protein-export protein SecB
NOGGKBHB_00945	CDS	465	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
NOGGKBHB_00946	CDS	414	argB	2.7.2.8	COG0548	Acetylglutamate kinase
NOGGKBHB_00947	CDS	720	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
NOGGKBHB_00948	CDS	855				hypothetical protein
NOGGKBHB_00949	CDS	369	chrR	1.6.5.2	COG0431	Quinone reductase
NOGGKBHB_00950	CDS	921				hypothetical protein
NOGGKBHB_00951	CDS	480	rplI		COG0359	50S ribosomal protein L9
NOGGKBHB_00952	CDS	228	rpsR		COG0238	30S ribosomal protein S18
NOGGKBHB_00953	CDS	402	rpsF		COG0360	30S ribosomal protein S6
NOGGKBHB_00954	CDS	486				hypothetical protein
NOGGKBHB_00955	CDS	321	ycgL		COG3100	Protein YcgL
NOGGKBHB_00956	CDS	1101	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
NOGGKBHB_00957	CDS	381	gcvH		COG0509	Glycine cleavage system H protein
NOGGKBHB_00958	CDS	2853	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
NOGGKBHB_00959	CDS	1587	cstA		COG1966	Peptide transporter CstA
NOGGKBHB_00960	CDS	1380			COG1629	putative hemoglobin and hemoglobin-haptoglobin-binding protein 2
NOGGKBHB_00961	CDS	429				hypothetical protein
NOGGKBHB_00962	CDS	267				hypothetical protein
NOGGKBHB_00963	CDS	1773	actP		COG4147	Cation/acetate symporter ActP
NOGGKBHB_00964	CDS	459				hypothetical protein
NOGGKBHB_00965	CDS	1197				Iron-sulfur cluster carrier protein
NOGGKBHB_00966	CDS	1074	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NOGGKBHB_00967	CDS	1149	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
NOGGKBHB_00968	CDS	1737	mcr1	2.7.-.-		putative phosphatidylethanolamine transferase Mcr-1
NOGGKBHB_00969	CDS	798				hypothetical protein
NOGGKBHB_00970	CDS	354			COG1393	putative protein
NOGGKBHB_00971	CDS	2637	leuS	6.1.1.4		Leucine--tRNA ligase
NOGGKBHB_00972	CDS	507	lptE			LPS-assembly lipoprotein LptE
NOGGKBHB_00973	CDS	1044				hypothetical protein
NOGGKBHB_00974	tRNA	76				tRNA-Lys(ttt)
NOGGKBHB_00975	tRNA	76				tRNA-Lys(ttt)
NOGGKBHB_00976	tRNA	76				tRNA-Asn(gtt)
NOGGKBHB_00977	CDS	1035				hypothetical protein
NOGGKBHB_00978	CDS	411				hypothetical protein
NOGGKBHB_00979	CDS	357				hypothetical protein
NOGGKBHB_00980	CDS	2040	sarA		COG4166	Oligopeptide-binding protein SarA
NOGGKBHB_00981	CDS	969	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
NOGGKBHB_00982	CDS	1047	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
NOGGKBHB_00983	CDS	927	oppC		COG1173	Oligopeptide transport system permease protein OppC
NOGGKBHB_00984	CDS	1488				hypothetical protein
NOGGKBHB_00985	CDS	357				hypothetical protein
NOGGKBHB_00986	CDS	2445			COG1629	putative TonB-dependent receptor
NOGGKBHB_00987	CDS	303				hypothetical protein
NOGGKBHB_00988	CDS	1029				hypothetical protein
NOGGKBHB_00989	CDS	2529				hypothetical protein
NOGGKBHB_00990	CDS	729	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NOGGKBHB_00991	CDS	411	ftsB			Cell division protein FtsB
NOGGKBHB_00992	CDS	1317	eno	4.2.1.11		Enolase
NOGGKBHB_00993	CDS	864	kdsA	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
NOGGKBHB_00994	CDS	1635	pyrG	6.3.4.2	COG0504	CTP synthase
NOGGKBHB_00995	CDS	1068	ccoP2		COG2010	Cbb3-type cytochrome c oxidase subunit CcoP2
NOGGKBHB_00996	CDS	183				hypothetical protein
NOGGKBHB_00997	CDS	639				hypothetical protein
NOGGKBHB_00998	CDS	1482	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
NOGGKBHB_00999	CDS	384				hypothetical protein
NOGGKBHB_01000	CDS	1452				hypothetical protein
NOGGKBHB_01001	CDS	633				hypothetical protein
NOGGKBHB_01002	CDS	969	syrM1_2			HTH-type transcriptional regulator SyrM 1
NOGGKBHB_01003	CDS	501				hypothetical protein
NOGGKBHB_01004	CDS	1347	argG	6.3.4.5	COG0137	Argininosuccinate synthase
NOGGKBHB_01005	CDS	1065	pyrC	3.5.2.3	COG0418	Dihydroorotase
NOGGKBHB_01006	CDS	699	rnt	3.1.13.-	COG0847	Ribonuclease T
NOGGKBHB_01007	CDS	489				hypothetical protein
NOGGKBHB_01008	tRNA	76				tRNA-Glu(ttc)
NOGGKBHB_01009	CDS	735	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
NOGGKBHB_01010	CDS	1590				hypothetical protein
NOGGKBHB_01011	CDS	915	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
NOGGKBHB_01012	CDS	264				hypothetical protein
NOGGKBHB_01013	CDS	816	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
NOGGKBHB_01014	CDS	843	uppP	3.6.1.27		Undecaprenyl-diphosphatase
NOGGKBHB_01015	CDS	687	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NOGGKBHB_01016	CDS	1545	ffh		COG0541	Signal recognition particle protein
NOGGKBHB_01017	CDS	792	ypjD		COG4137	Inner membrane protein YpjD
NOGGKBHB_01018	CDS	306				hypothetical protein
NOGGKBHB_01019	CDS	1383	sbcD		COG0420	Nuclease SbcCD subunit D
NOGGKBHB_01020	CDS	3891	smc_3			Chromosome partition protein Smc
NOGGKBHB_01021	CDS	462				hypothetical protein
NOGGKBHB_01022	CDS	957				hypothetical protein
NOGGKBHB_01023	CDS	1899	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NOGGKBHB_01024	CDS	189				hypothetical protein
NOGGKBHB_01025	CDS	432	rplM		COG0102	50S ribosomal protein L13
NOGGKBHB_01026	CDS	387	rpsI		COG0103	30S ribosomal protein S9
NOGGKBHB_01027	CDS	585	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
NOGGKBHB_01028	CDS	1227	petB		COG1290	Cytochrome b
NOGGKBHB_01029	CDS	726	petC		COG2857	Ammonia monooxygenase gamma subunit
NOGGKBHB_01030	CDS	624	sspA		COG0625	Stringent starvation protein A
NOGGKBHB_01031	CDS	390	sspB		COG2969	Stringent starvation protein B 
NOGGKBHB_01032	CDS	411				hypothetical protein
NOGGKBHB_01033	CDS	327				hypothetical protein
NOGGKBHB_01034	CDS	2577	clpB		COG0542	Chaperone protein ClpB
NOGGKBHB_01035	CDS	795	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
NOGGKBHB_01036	CDS	894				hypothetical protein
NOGGKBHB_01037	CDS	999				hypothetical protein
NOGGKBHB_01038	CDS	1065				hypothetical protein
NOGGKBHB_01039	CDS	975				hypothetical protein
NOGGKBHB_01040	CDS	783	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
NOGGKBHB_01041	CDS	1497	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
NOGGKBHB_01042	CDS	1098				hypothetical protein
NOGGKBHB_01043	CDS	1224				hypothetical protein
NOGGKBHB_01044	CDS	714				hypothetical protein
NOGGKBHB_01045	CDS	1308	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
